epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.272,4.02234,9.05033,1.90281,0,0,0,0,3.02397,7.0204,1.23267,2.62616e-05,2.62616e-05,2.62616e-05
2,844.233,2.99561,7.3825,1.23843,0,0,0,0,2.82137,6.56717,1.18337,4.7388e-05,4.7388e-05,4.7388e-05
3,1263.78,2.69367,6.77201,1.16548,0,0,0,0,2.66343,6.1667,1.16066,6.33005e-05,6.33005e-05,6.33005e-05
4,1683.33,2.51889,6.20563,1.13813,8e-05,0.00549,0.0007,0.00035,2.58546,5.7635,1.1487,5.5537e-05,5.5537e-05,5.5537e-05
5,2106.07,2.40794,5.79748,1.11688,0.00199,0.19445,0.00334,0.00128,2.59429,5.3787,1.16177,4.7716e-05,4.7716e-05,4.7716e-05
6,2535.34,2.28706,5.51758,1.10717,0.00131,0.20742,0.00222,0.00106,2.38112,5.32407,1.10955,3.9895e-05,3.9895e-05,3.9895e-05
7,2975.98,2.18804,5.31714,1.07932,0.00208,0.41432,0.00585,0.00287,2.30957,5.07506,1.08673,3.2074e-05,3.2074e-05,3.2074e-05
8,3423.31,2.09428,5.10738,1.06461,0.00279,0.50122,0.00679,0.00329,2.19545,4.83276,1.0698,2.4253e-05,2.4253e-05,2.4253e-05
9,3864.21,2.02664,4.9481,1.04692,0.00308,0.51219,0.00693,0.0036,2.07774,4.77774,1.04403,1.6432e-05,1.6432e-05,1.6432e-05
10,4312.33,1.99114,4.84997,1.04227,0.00333,0.51351,0.00713,0.00315,2.17826,4.77178,1.06566,8.611e-06,8.611e-06,8.611e-06
