epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2924.09,3.42628,11.1921,2.21641,0,0,0,0,2.72538,7.9812,1.55119,2.62616e-05,2.62616e-05,2.62616e-05
2,6244.4,2.59062,9.19043,1.49507,0,0,0,0,2.40091,7.31092,1.43109,4.7388e-05,4.7388e-05,4.7388e-05
3,9769.23,2.28646,8.05,1.40352,0,0,0,0,2.22089,6.61247,1.40411,6.33005e-05,6.33005e-05,6.33005e-05
4,14102.7,2.06572,7.19961,1.33683,0.00476,0.00053,0.00052,0.00016,2.05242,6.2024,1.38125,5.5537e-05,5.5537e-05,5.5537e-05
5,21045.5,1.94221,6.73555,1.29531,0.00073,0.00896,0.00073,0.00018,1.97177,5.99957,1.33952,4.7716e-05,4.7716e-05,4.7716e-05
6,27814.1,1.83493,6.48396,1.27363,0.00097,0.03346,0.00077,0.0003,1.87257,5.88738,1.30334,3.9895e-05,3.9895e-05,3.9895e-05
